maximum_rainfall_in_a_day,mean_temp,mean_rh,mean_sunshine_hrs,no_of_rainy_days,total_rainfall,year,month
36.5,25.9,81.2,5.6,10,107.1,1982,01
9.4,27.1,79.5,7.6,5,27.8,1982,02
61.7,27.2,82.3,5.1,11,160.8,1982,03
45.1,27.0,85.9,4.7,14,157.0,1982,04
33.0,28.0,83.2,5.8,10,102.2,1982,05
20.6,28.4,80.3,7.3,8,59.5,1982,06
17.2,28.2,77.6,7.6,8,76.3,1982,07
57.7,27.7,80.4,5.4,11,169.5,1982,08
18.0,27.9,80.6,5.2,9,54.1,1982,09
10.0,27.4,81.5,5.6,10,39.3,1982,10
39.6,27.3,83.4,5.8,13,134.0,1982,11
109.0,26.2,87.7,3.3,21,494.1,1982,12
43.2,26.5,85.6,4.3,18,246.0,1983,01
5.1,28.1,78.0,9.3,2,5.6,1983,02
18.3,28.9,76.0,8.9,2,18.6,1983,03
21.3,29.4,77.2,6.6,4,33.6,1983,04
32.3,28.3,83.2,5.9,11,160.8,1983,05
27.7,28.3,82.4,5.9,11,94.0,1983,06
55.5,27.6,83.7,5.4,18,190.0,1983,07
181.8,28.1,81.2,6.3,10,262.2,1983,08
50.3,27.2,84.4,3.8,18,170.8,1983,09
40.0,27.6,82.5,5.2,17,212.7,1983,10
54.8,26.6,85.2,3.2,18,228.8,1983,11
164.4,25.4,88.0,2.7,16,370.6,1983,12
62.3,25.5,85.8,4.1,18,251.2,1984,01
154.4,25.8,86.0,4.1,19,470.4,1984,02
119.4,26.5,85.4,5.3,19,361.3,1984,03
38.7,27.3,83.8,6.2,17,153.1,1984,04
46.0,27.3,84.1,6.4,12,186.5,1984,05
121.1,27.5,83.1,5.4,14,255.0,1984,06
49.2,27.2,83.7,5.7,12,127.2,1984,07
22.5,27.4,84.1,6.0,13,102.7,1984,08
46.5,26.8,83.9,4.9,17,186.7,1984,09
47.2,27.4,82.5,5.3,11,187.5,1984,10
35.4,26.5,86.3,4.3,17,127.7,1984,11
58.4,26.0,86.7,3.3,22,277.4,1984,12
35.5,26.6,81.5,8.7,7,111.1,1985,01
18.7,27.0,84.0,6.5,11,79.3,1985,02
23.8,27.1,83.9,5.6,13,88.0,1985,03
29.3,27.5,83.8,5.5,14,110.5,1985,04
36.2,28.0,83.4,5.7,12,70.1,1985,05
9.9,28.2,79.4,5.8,14,37.0,1985,06
32.2,27.0,83.1,5.3,17,131.8,1985,07
21.4,27.7,80.4,6.2,11,56.9,1985,08
22.0,26.9,83.1,5.0,18,110.7,1985,09
30.2,26.7,84.7,4.1,21,169.0,1985,10
38.2,26.6,85.0,4.1,21,179.4,1985,11
86.8,26.1,86.2,4.6,22,340.1,1985,12
95.6,25.7,83.9,3.9,13,308.2,1986,01
23.0,26.9,78.4,7.2,2,26.7,1986,02
71.1,26.4,86.6,4.6,17,353.4,1986,03
56.4,27.4,85.3,6.2,14,150.0,1986,04
51.3,28.2,81.8,6.1,13,145.1,1986,05
34.5,27.9,82.5,6.8,13,122.9,1986,06
23.5,27.9,79.9,6.2,12,109.7,1986,07
28.4,28.3,77.3,5.6,11,72.9,1986,08
97.6,26.7,84.4,4.8,22,396.0,1986,09
65.6,26.9,85.0,5.0,20,227.3,1986,10
40.5,26.6,84.1,4.5,21,256.7,1986,11
131.7,26.3,85.2,5.4,16,367.2,1986,12
127.4,25.5,86.0,4.0,16,568.6,1987,01
